Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.7,300832192,2000,150416.1,27352.5,7742,949988,290063.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
10.8,173480782,356,487305.6,382586.5,41429,1280971,380656.3,ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f_tn
10.6,170044956,1314,129410.2,52194.5,7902,912654,262566.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params)
6.6,105892225,1981,53453.9,53777.0,7070,815751,119903.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
6.6,105723467,552,191528.0,52306.0,26969,885333,305410.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(T1::Params)
6.5,104522375,552,189352.1,50931.0,25145,886037,306640.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_tn_align8>(T1::Params)
5.8,93987486,552,170267.2,41381.0,15548,847551,297755.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
5.3,84541936,177,477638.1,386937.0,94855,896402,343488.0,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
4.3,68409075,138,495717.9,493932.5,73292,924107,421899.9,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
3.9,61938118,69,897653.9,898033.0,888019,907215,3707.7,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn
3.8,61461543,69,890747.0,890099.0,885333,897393,3589.3,ampere_bf16_s1688gemm_bf16_64x64_sliced1x4_ldg8_f2f_tn
3.7,59030764,23,2566555.0,2566901.0,2559128,2574387,3692.7,"std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)1, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
3.3,53722032,542,99118.1,24761.0,7646,923531,234515.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
2.0,32567403,23,1415974.0,1415752.0,1413288,1419847,1663.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)5, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
1.5,23888394,92,259656.5,59680.0,57457,863898,349050.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8>(T1::Params)
1.2,18922968,23,822737.7,822566.0,820838,826148,1321.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_tn_align8>(T1::Params)
0.8,13192339,368,35848.7,25209.0,8030,62672,19587.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x2_tn_align8>(T1::Params)
0.7,11975249,345,34710.9,25913.0,8189,58480,19213.4,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
0.6,9299868,348,26723.8,26009.0,8862,63407,18453.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_tn_align8>(T1::Params)
0.4,6748279,161,41914.8,54898.0,14716,62543,17649.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
0.4,6091292,3131,1945.5,1344.0,1087,21178,2725.1,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.3,4450432,72,61811.6,58160.5,4254,124767,57965.8,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)64, (unsigned int)1, (unsigned int)4, (unsigned int)8, (unsigned int)8, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>>(T2)"
0.3,4449187,69,64481.0,64303.0,63151,66127,844.3,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
0.3,4096896,207,19791.8,25433.0,7934,26681,8291.1,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)
0.3,4087234,92,44426.5,35078.5,11229,96743,31896.2,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.3,4065125,207,19638.3,24793.0,7486,27257,8299.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_tn_align8>(T1::Params)
0.2,2973813,396,7509.6,992.0,959,66350,18536.5,"silu_mul_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.2,2556730,92,27790.5,24249.0,7742,55474,17081.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
0.2,2517065,46,54718.8,56033.0,19291,58321,7449.1,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,1955260,720,2715.6,1664.0,1599,20346,3889.5,"void pegainfer::norm::FusedAddRMSNormRoundKernel<(unsigned int)8, __nv_bfloat16>(T2 *, const T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, unsigned int, float)"
0.1,1421960,36,39498.9,39493.5,38166,40789,809.0,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
0.1,1413575,23,61459.8,61424.0,60880,62320,341.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)8, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,1329730,23,57814.3,57649.0,57297,59504,553.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_64x2_tn_align8>(T1::Params)
0.1,1268943,23,55171.4,55121.0,54610,55633,287.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
0.1,1065647,396,2691.0,1344.0,1311,23226,3497.7,"prefill_qk_norm_rope_warp_kernel(__nv_bfloat16 *, __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const int *, int, int, int, int, int, int, float, int)"
0.1,950819,324,2934.6,2464.0,2399,6142,1109.4,"void flashinfer::BatchDecodeWithPagedKVCacheKernel<(flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)1, (unsigned int)8, (unsigned int)16, (unsigned int)4, (unsigned int)2, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>, flashinfer::BatchDecodeParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>>(T9)"
0.0,712124,396,1798.3,1376.0,1343,5534,1041.5,"void flashinfer::AppendPagedKVCacheKernel<(unsigned int)128, (unsigned int)8, __nv_bfloat16, int>(flashinfer::paged_kv_t<T3, T4>, T3 *, T3 *, T4 *, T4 *, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,642043,414,1550.8,1503.0,1183,2080,243.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,507202,72,7044.5,7038.0,1087,13149,5956.1,"add_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,340359,288,1181.8,1184.0,1151,1312,14.2,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
0.0,308462,92,3352.8,2895.5,1663,5951,1596.1,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,301897,83,3637.3,1983.0,1535,17979,2391.0,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
0.0,93800,1,93800.0,93800.0,93800,93800,0.0,"argmax_batch_bf16_partial_kernel(const __nv_bfloat16 *, const int *, float *, int *, int, int, int)"
0.0,8350,3,2783.3,2240.0,1855,4255,1289.0,"embedding_batched_vec4_kernel(const uint4 *, const unsigned int *, uint4 *, int, int)"
0.0,8062,1,8062.0,8062.0,8062,8062,0.0,"gather_hidden_tokens_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int, int)"
0.0,1823,1,1823.0,1823.0,1823,1823,0.0,"argmax_batch_bf16_finalize_kernel(const float *, const int *, __nv_bfloat16 *, int *, int, int)"
