layer,first_mean_alert,first_cos_alert,worst_stage,worst_mean_abs,worst_cosine,input_hidden_mean,input_norm_mean,attn_output_mean,o_proj_mean,post_attn_norm_mean,gate_proj_mean,up_proj_mean,down_proj_mean,output_hidden_mean,output_hidden_cosine
0,none,none,layer0.output_hidden.bf16,0.0018369853496551514,0.9999966621398926,0.0,9.12402720132377e-06,6.211006984813139e-05,0.0004013009020127356,7.180981629062444e-05,0.0003396784304641187,0.00032130046747624874,0.0015919383149594069,0.0018369853496551514,0.9999966621398926
1,layer1.k_norm.bf16,none,layer1.gate_proj.bf16,0.005715621169656515,1.0000065565109253,0.0018369853496551514,5.740358028560877e-05,0.00023690414673183113,0.0014754354488104582,0.0006484948098659515,0.005715621169656515,0.0036223684437572956,0.001148581737652421,0.0032013417221605778,0.9999980926513672
2,layer2.input_hidden.bf16,none,layer2.gate_proj.bf16,0.00844292901456356,1.0000026226043701,0.0032013417221605778,9.783015411812812e-05,0.0003485550987534225,0.002385654952377081,0.0011306859087198973,0.00844292901456356,0.005530170165002346,0.0027123920153826475,0.006660413928329945,0.9999966025352478
3,layer3.input_hidden.bf16,none,layer3.gate_proj.bf16,0.01647868938744068,1.0000040531158447,0.006660413928329945,0.00016811472596600652,0.0004985653795301914,0.0033133882097899914,0.0013598722871392965,0.01647868938744068,0.005216129589825869,0.0026497994549572468,0.00866088829934597,0.9999954104423523
4,layer4.input_hidden.bf16,none,layer4.gate_proj.bf16,0.027967100962996483,1.0000040531158447,0.00866088829934597,0.00021560229652095586,0.0007180275279097259,0.0045461589470505714,0.001216893782839179,0.027967100962996483,0.004617214202880859,0.00597452512010932,0.011612939648330212,0.9999960660934448
5,layer5.input_hidden.bf16,layer5.post_attn_norm.bf16,layer5.k_norm_rope.bf16,0.01682749018073082,0.999968409538269,0.011612939648330212,0.00024916455731727183,0.00076584197813645,0.005043775774538517,0.0008886115392670035,0.005515127908438444,0.003662681207060814,0.00846061296761036,0.012023961171507835,0.9999970197677612
6,layer6.input_hidden.bf16,none,layer6.output_hidden.bf16,0.012229490093886852,0.9999964833259583,0.012023961171507835,0.0003018752613570541,0.0007980246446095407,0.004987725056707859,0.0008294183062389493,0.0033704815432429314,0.0032163874711841345,0.006447439547628164,0.012229490093886852,0.9999964833259583
7,layer7.input_hidden.bf16,none,layer7.output_hidden.bf16,0.016649866476655006,0.9999961256980896,0.012229490093886852,0.00040836335392668843,0.0010187487350776792,0.006716424133628607,0.000982120749540627,0.003984097391366959,0.0038810933474451303,0.00950291845947504,0.016649866476655006,0.9999961256980896
8,layer8.input_hidden.bf16,layer8.attn_output.bf16,layer8.output_hidden.bf16,0.018915796652436256,0.9999949932098389,0.016649866476655006,0.0006373748183250427,0.0011651588138192892,0.008671363815665245,0.0011052810586988926,0.004476419184356928,0.00446892948821187,0.01076730340719223,0.018915796652436256,0.9999949932098389
9,layer9.input_hidden.bf16,none,layer9.output_hidden.bf16,0.020586419850587845,0.9999952912330627,0.018915796652436256,0.000687994179315865,0.0009358435636386275,0.0059801628813147545,0.0012921480229124427,0.00521759083494544,0.0052346838638186455,0.014161603525280952,0.020586419850587845,0.9999952912330627
10,layer10.input_hidden.bf16,none,layer10.output_hidden.bf16,0.02197265625,0.9999954104423523,0.020586419850587845,0.0009179089101962745,0.0009591825655661523,0.00634254515171051,0.0012659367639571428,0.005192536395043135,0.005235636606812477,0.014633464626967907,0.02197265625,0.9999954104423523
11,layer11.input_hidden.bf16,none,layer11.output_hidden.bf16,0.02221851423382759,0.9999963641166687,0.02197265625,0.000599402585066855,0.0007832637056708336,0.0053764404729008675,0.001159858307801187,0.005381103605031967,0.00475971307605505,0.012816528789699078,0.02221851423382759,0.9999963641166687
12,layer12.input_hidden.bf16,none,layer12.input_hidden.bf16,0.02221851423382759,0.9999963641166687,0.02221851423382759,0.000578438222873956,0.0006652012816630304,0.004504283890128136,0.0009957464644685388,0.004144130274653435,0.0040740580298006535,0.009747784584760666,0.02104017697274685,0.9999961853027344
13,layer13.input_hidden.bf16,none,layer13.output_hidden.bf16,0.022183310240507126,0.9999968409538269,0.02104017697274685,0.0004407886299304664,0.0006101994076743722,0.004809732548892498,0.000893659598659724,0.0035959992092102766,0.003676540683954954,0.008881506510078907,0.022183310240507126,0.9999968409538269
