Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.7,5348265,180,29712.6,25184.0,15520,64192,17582.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
40.6,4038622,72,56092.0,55600.5,54593,75745,2619.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
1.6,163841,36,4551.1,4544.0,4480,4928,80.6,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)64, (unsigned int)1, (unsigned int)4, (unsigned int)8, (unsigned int)8, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>>(T2)"
0.7,71904,36,1997.3,1984.0,1952,2112,31.0,"prefill_qk_norm_rope_kernel(__nv_bfloat16 *, __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int, int, int, int, int, int, int, const int *, float)"
0.7,67233,36,1867.6,1856.0,1824,1952,26.7,"void pegainfer::norm::FusedAddRMSNormRoundKernel<(unsigned int)8, __nv_bfloat16, (bool)1>(T2 *, const T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, unsigned int, float)"
0.7,65312,37,1765.2,1760.0,1728,1920,35.8,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
0.6,62818,36,1744.9,1728.0,1696,1984,57.0,"void flashinfer::AppendPagedKVCacheKernel<(unsigned int)128, (unsigned int)8, __nv_bfloat16, int>(flashinfer::paged_kv_t<T3, T4>, T3 *, T3 *, T4 *, T4 *, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long)"
0.5,49121,36,1364.5,1344.5,1344,1504,30.7,"silu_mul_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.5,46144,1,46144.0,46144.0,46144,46144,0.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.4,43008,36,1194.7,1184.0,1152,1312,35.1,"add_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,1856,1,1856.0,1856.0,1856,1856,0.0,"embedding_batched_kernel(const __nv_bfloat16 *, const unsigned int *, __nv_bfloat16 *, int, int)"
